Date,Date_Time,Num_Coins,Reported_Hash,Calculated_Hash,Diff
0,0,0.0,0,0,0.0
2021-11-21,13:33:51.397040,595835.73783868,30,29,0.0
2021-11-21,13:34:53.458088,595835.73783868,30,29,0.0
2021-11-21,14:01:40.669087,597117.69113073,30,19,350.00142818992026
2021-11-21,14:03:51.583825,597259.00498082,30,19,141.31385009002406
2021-11-21,14:04:12.533754,597259.00498082,30,24,0.0
2021-11-21,14:04:37.615924,597406.83864453,30,24,147.83366371004377
2021-11-21,14:11:19.639080,597406.83864453,30,19,0.0
2021-11-21,17:31:46.397327,600176.35520706,30,0,2769.516562529956
2021-11-21,17:33:12.344673,600488.75639443,30,29,312.4011873699492
2021-11-21,17:53:13.076384,601113.09042006,30,34,624.3340256300289
2021-11-21,17:58:58.166326,601366.78235458,29,24,253.69193452002943
2021-11-21,21:34:38.676707,606692.85733746,30,24,5326.074982880033
2021-11-21,21:39:07.874007,606692.85733746,30,29,0.0
2021-11-21,21:40:10.273118,606692.85733746,30,29,0.0
2021-11-21,21:42:15.182184,606692.85733746,30,10,0.0
2021-11-21,21:57:17.719222,607181.45564807,31,39,488.5983106099302
2021-11-21,22:12:20.873462,607570.30202477,31,48,388.8463766999776
2021-11-25,14:18:33.950713,652384.58396426,30,0,44814.28193949
2021-11-25,14:24:08.373760,652384.58396426,30,24,0.0
2021-11-25,14:39:16.822990,652627.66181945,29,39,243.07785519002937
2021-11-25,14:54:25.255351,653751.78214645,31,39,1124.1203270000406
2021-11-25,15:09:33.667927,653852.28068894,30,19,100.4985424899496
2021-11-25,15:24:41.943486,654145.50558229,30,19,293.22489335003775
2021-11-25,15:39:50.264877,654145.50558229,30,19,0.0
2021-11-25,15:54:58.700198,655332.71194604,30,34,1187.2063637500396
2021-11-25,16:10:07.083472,655851.02380342,31,19,518.3118573799729
2021-11-25,16:25:15.443201,656351.21843706,30,29,500.19463363999967
2021-11-25,16:40:23.831741,657007.93992426,31,39,656.721487200004
2021-11-25,16:55:32.113186,657280.275542,31,34,272.33561773994006
2021-11-25,17:10:40.526390,657626.09716219,31,34,345.82162019005045
2021-11-25,17:25:48.740415,658111.72526996,31,24,485.62810776999686
2021-11-25,17:40:57.143761,658661.98773439,30,29,550.2624644299503
2021-11-25,17:56:05.478795,658661.98773439,31,44,0.0
2021-11-25,18:11:14.151375,659401.32164351,30,68,739.3339091200614
2021-11-25,18:26:22.688915,660757.26739882,31,63,1355.9457553100074
2021-11-25,18:41:31.159200,660757.26739882,30,44,0.0
2021-11-25,18:56:40.406624,660992.5317801,31,34,235.2643812799361
2021-11-25,19:11:49.162240,661797.26205881,31,24,804.7302787100198
2021-11-25,19:29:59.527702,662475.86518371,31,44,678.6031249000225
2021-11-25,19:45:08.505232,662863.9622707,30,53,388.0970869900193
2021-11-25,20:00:16.764219,663837.33215409,30,39,973.3698833900272
2021-11-25,20:15:25.073626,664151.19192872,30,34,313.8597746299347
